valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,incValueMean3m,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
min_value_5y,2022-M10,month,CHFL,CHFL,all,agegroup_sti,all,913,NA,10.48,9293,11.3,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M11,month,CHFL,CHFL,all,agegroup_sti,all,961,NA,11.03,10335,11.62,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2022-M12,month,CHFL,CHFL,all,agegroup_sti,all,801,NA,9.33,11136,10.49,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M01,month,CHFL,CHFL,all,agegroup_sti,all,999,NA,11.38,999,10.79,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M02,month,CHFL,CHFL,all,agegroup_sti,all,948,NA,10.74,1947,10.71,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M03,month,CHFL,CHFL,all,agegroup_sti,all,901,NA,10.35,3057,11.79,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M04,month,CHFL,CHFL,all,agegroup_sti,all,554,NA,6.36,3658,9.44,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M05,month,CHFL,CHFL,all,agegroup_sti,all,844,NA,9.69,4502,8.8,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M06,month,CHFL,CHFL,all,agegroup_sti,all,910,NA,10.53,5510,9.21,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M07,month,CHFL,CHFL,all,agegroup_sti,all,880,NA,10.02,6417,10.56,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M08,month,CHFL,CHFL,all,agegroup_sti,all,938,NA,10.77,7355,10.65,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M09,month,CHFL,CHFL,all,agegroup_sti,all,1106,NA,12.37,8517,11.51,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M10,month,CHFL,CHFL,all,agegroup_sti,all,913,NA,10.48,9430,11.53,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M11,month,CHFL,CHFL,all,agegroup_sti,all,961,NA,11.03,10391,11.62,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2023-M12,month,CHFL,CHFL,all,agegroup_sti,all,867,NA,9.95,11258,10.49,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M01,month,CHFL,CHFL,all,agegroup_sti,all,999,NA,11.38,999,10.79,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M02,month,CHFL,CHFL,all,agegroup_sti,all,948,NA,10.74,1947,10.71,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M03,month,CHFL,CHFL,all,agegroup_sti,all,901,NA,10.35,3104,11.86,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M04,month,CHFL,CHFL,all,agegroup_sti,all,554,NA,6.36,3658,9.44,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M05,month,CHFL,CHFL,all,agegroup_sti,all,844,NA,9.69,4502,8.8,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M06,month,CHFL,CHFL,all,agegroup_sti,all,953,NA,10.48,5510,9.21,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M07,month,CHFL,CHFL,all,agegroup_sti,all,880,NA,10.02,6417,10.56,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M08,month,CHFL,CHFL,all,agegroup_sti,all,938,NA,10.77,7355,10.65,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M09,month,CHFL,CHFL,all,agegroup_sti,all,1114,NA,12.37,8517,11.51,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M10,month,CHFL,CHFL,all,agegroup_sti,all,913,NA,10.48,9430,11.53,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M11,month,CHFL,CHFL,all,agegroup_sti,all,961,NA,11.03,10391,11.62,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2024-M12,month,CHFL,CHFL,all,agegroup_sti,all,867,NA,9.57,11258,10.49,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_5y,2025-M01,month,CHFL,CHFL,all,agegroup_sti,all,999,NA,11.38,999,10.79,NA,NA,NA,NA,NA,NA,NA,TRUE
