valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,testResult,testResult_type,value,pop,incValue,prct,inc14d,trend,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2020-W11,iso_week,UR,canton,all,agegroup_ili_ari,all,positive,all,0,36819,0,0,0,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,VD,canton,all,agegroup_ili_ari,all,positive,all,521,814762,63.95,23,70.94,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,VS,canton,all,agegroup_ili_ari,all,positive,all,89,348503,25.54,3.9,28.98,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,ZG,canton,all,agegroup_ili_ari,all,positive,all,10,128794,7.76,0.4,12.42,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,ZH,canton,all,agegroup_ili_ari,all,positive,all,250,1553423,16.09,11,18.28,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,unknown,canton,all,agegroup_ili_ari,all,positive,all,0,NA,NA,0,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,CH,country,all,agegroup_ili_ari,all,positive,all,2265,8670300,26.12,99.4,30.47,NA,NA,NA,NA,NA,TRUE
cases,2020-W11,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,positive,all,2278,8709355,26.16,100,30.5,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,AG,canton,all,agegroup_ili_ari,all,positive,all,193,694072,27.81,2.9,34.15,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,AI,canton,all,agegroup_ili_ari,all,positive,all,6,16293,36.83,0.1,49.1,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,AR,canton,all,agegroup_ili_ari,all,positive,all,21,55309,37.97,0.3,52.43,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,BE,canton,all,agegroup_ili_ari,all,positive,all,367,1043132,35.18,5.6,44.86,NA,NA,NA,NA,NA,TRUE
